phoneme_label,speaker_group,n_tokens,f1_mean,f1_median,f1_sd,f1_iqr,f1_cv,f2_mean,f2_median,f2_sd,f2_iqr,f2_cv
ø,L1/F,24,-0.6156131443598407,-0.5935428833315977,0.16122158380972784,0.25004092189910543,-0.2618878191390434,0.35926910959423913,0.393199900742631,0.3504455821779002,0.3658109541314314,0.9754403393425494
ø,L1/M,84,-0.5133154477234958,-0.4912012209228775,0.2157314237406044,0.2815374635633018,-0.4202706633851609,0.026622577022289113,0.03026301251466775,0.20594930653323418,0.2683770298552542,7.735889217666946
ø,L2/F,95,-0.3789304982447477,-0.4072730571311347,0.3560882330023828,0.580491949031134,-0.9397191164391013,0.04831434415481878,0.1530600643830648,0.431705044472525,0.452528058024229,8.935339018349636
ø,L2/M,25,-0.4802635665545198,-0.5187312483433875,0.3079108347402564,0.31620754378998367,-0.6411288637804721,0.18813826101053288,0.3416160952461762,0.4723688598031454,0.17223631109069817,2.5107538321335916
o,L1/F,12,-0.8406040814796087,-0.8010169723370071,0.12864340738415642,0.23375939418419667,-0.15303685791974952,-0.7839941421050822,-0.7777912322076449,0.1994574706724786,0.315491529182769,-0.2544119400393995
o,L1/M,42,-0.4984579764101293,-0.48964240933055825,0.1898549218490615,0.19598487018978056,-0.3808845094954397,-0.5490699803903369,-0.5772119582068753,0.21309896550534635,0.2361858569389343,-0.38810893531978014
o,L2/F,48,-0.5499908584330514,-0.5708925878362003,0.2314513225844938,0.3174639474230202,-0.4208275811054551,-0.5160090643730775,-0.48180214735062454,0.3278507290013173,0.4514647147372137,-0.6353584687502298
o,L2/M,12,-0.44876507888938555,-0.44083872713479244,0.2785496225212185,0.4779275266678894,-0.6207025359695539,-0.8196433939873495,-0.8329469279792463,0.10229877693355086,0.13781764423804,-0.12480888357544644
ɛ,L1/F,36,0.27565183054618947,0.4151872927848044,0.4671793037335666,0.47369341300254686,1.694816619965395,0.7796995728254319,0.8629467765653116,0.24012154493367505,0.30450470213737035,0.3079667519420794
ɛ,L1/M,126,0.21162503200295568,0.16809717994339254,0.28142103241482164,0.29860462155946266,1.329809757150521,0.6733981269175783,0.6945138209276187,0.3042861633069753,0.46409771834778635,0.45186666125701735
ɛ,L2/F,143,0.09354016242643112,0.0953690387966005,0.42076227889270923,0.6256667403738473,4.498199147597554,0.44466861430717325,0.6545689717461743,0.7820068083147559,0.7289373128078003,1.7586282979138985
ɛ,L2/M,42,-0.13659186884057295,-0.1258031351465265,0.3395449345853692,0.406557859039514,-2.485835631853596,0.9051669053488022,0.911899227372311,0.24874868104820338,0.33002875623494354,0.2748097390418279
œ,L2/F,1,-0.3659029598620248,-0.3659029598620248,,0.0,,0.4622192119202553,0.4622192119202553,,0.0,
ə,L1/F,19,-0.31593190141592786,-0.1077081068673405,1.1684977800736773,1.0096758498160188,-3.6985748347563585,0.2073163599761596,0.23590755076295,0.2449966731211294,0.29014033262454614,1.1817527239495373
ə,L1/M,11,-0.3751440559140859,-0.307739955351835,0.4243644927049169,0.5101964517302582,-1.1312040961728669,-0.11833802321970865,-0.1827863930075748,0.1946523422841812,0.3645290797214464,-1.644884179979802
ə,L2/F,83,-0.16605339130298996,-0.2741615136247263,0.890760469195025,1.1896602759793298,-5.364301579181215,-0.06486188287007855,0.0037228804565917,0.5106359777929327,0.5619009851081429,-7.8726665831727525
ə,L2/M,4,0.5987820614964214,0.598116546492148,0.15777856755353858,0.11055761490055283,0.2634991555345409,0.20480105817594094,0.36786465120433615,0.6411938996203898,0.6738722717231166,3.1308134114695423
a,L1/F,303,1.0103349135894264,1.0718067857530271,0.695503081077952,0.7169175019530734,0.688388643927024,-0.32586123009350415,-0.6561744133545598,0.6983989722150321,1.2229559761703905,-2.1432404585676874
a,L1/M,1033,0.8139592674700413,0.7647742564092609,0.8991426334387645,0.7376257138889376,1.1046531065780374,-0.29877693832028973,-0.3533469354315939,0.577120577245544,0.8582485091262462,-1.9316101854784689
a,L2/F,1462,0.8308474207607004,0.8854028131119538,0.7053344978102539,0.6589754447691675,0.8489338477628899,-0.3875123780521369,-0.5123078522951262,0.46560367732819796,0.6623621744231839,-1.2015194964057496
