representation,response,model,term,estimate,std_error,z_value,p_value
xlsr_layer18,xlsr_pc1,extended_height,Intercept,46.332822019490735,1.4347307348228369,32.29374048727826,8.563659449752422e-229
xlsr_layer18,xlsr_pc1,extended_height,C(vowel_height)[T.low],-80.63016620987345,0.6649312269407324,-121.26091081756384,0.0
xlsr_layer18,xlsr_pc1,extended_height,C(vowel_height)[T.mid],-33.003988235039664,1.0005660630128619,-32.98531646741991,1.319074106542991e-238
xlsr_layer18,xlsr_pc1,extended_height,l2,-2.6090777823151026,1.5434920084816495,-1.6903733663523675,0.09095654711768901
xlsr_layer18,xlsr_pc1,extended_height,male,-5.854023889430425,1.566407742872491,-3.7372286469264187,0.0001860597152697923
xlsr_layer18,xlsr_pc1,extended_height,l2:male,1.9440239089626192,2.2039689238427482,0.8820559527550417,0.3777465502066071
xlsr_layer18,xlsr_pc2,extended_height,Intercept,36.890367914447026,1.9554493244159699,18.86541750472874,2.1953059406443133e-79
xlsr_layer18,xlsr_pc2,extended_height,C(vowel_height)[T.low],-10.85450134299633,0.4562359144277248,-23.791422375442696,4.0974789217548286e-125
xlsr_layer18,xlsr_pc2,extended_height,C(vowel_height)[T.mid],3.0043471482248143,0.6867173700555056,4.374939792162212,1.2146599918162067e-05
xlsr_layer18,xlsr_pc2,extended_height,l2,-4.824038703266896,2.165637799355284,-2.2275371739000054,0.025911394226572373
xlsr_layer18,xlsr_pc2,extended_height,male,-4.888518530472444,2.196691581315835,-2.2254004941122343,0.026054364405258566
xlsr_layer18,xlsr_pc2,extended_height,l2:male,6.649354379957558,3.086355863123305,2.154435416669223,0.031206041631450125
xlsr_layer18,xlsr_pc3,extended_height,Intercept,-16.204312116641063,2.3555075744545304,-6.879329233485283,6.013503533790698e-12
xlsr_layer18,xlsr_pc3,extended_height,C(vowel_height)[T.low],50.135857852070465,0.372394887524076,134.6308972859599,0.0
xlsr_layer18,xlsr_pc3,extended_height,C(vowel_height)[T.mid],46.735801954668254,0.5605482409089186,83.37516478311842,0.0
xlsr_layer18,xlsr_pc3,extended_height,l2,2.15084618742743,2.622162191827319,0.8202567309265334,0.41206976728064315
xlsr_layer18,xlsr_pc3,extended_height,male,-2.360578544067369,2.6595411238097957,-0.8875886606655803,0.37476205540946617
xlsr_layer18,xlsr_pc3,extended_height,l2:male,-3.8679324562903754,3.7357275679251365,-1.035389328038893,0.300487127604645
xlsr_layer18,xlsr_pc4,extended_height,Intercept,-15.90959766737606,3.637266951742201,-4.374052792511031,1.2196086432958174e-05
xlsr_layer18,xlsr_pc4,extended_height,C(vowel_height)[T.low],31.22229261164143,0.6622824405412326,47.143470369115995,0.0
xlsr_layer18,xlsr_pc4,extended_height,C(vowel_height)[T.mid],2.1747178576947324,0.9968892574112407,2.1815039549549575,0.02914616225279994
xlsr_layer18,xlsr_pc4,extended_height,l2,6.239894950583242,4.043271028483048,1.543278921107676,0.12276311573172966
xlsr_layer18,xlsr_pc4,extended_height,male,5.893250007502153,4.10100154570849,1.4370270144543515,0.15071031771383564
xlsr_layer18,xlsr_pc4,extended_height,l2:male,-6.889281351942367,5.760873728450076,-1.1958743893169623,0.23174558077102525
xlsr_layer18,xlsr_pc5,extended_height,Intercept,23.190873243032666,1.9814945114354259,11.703728225940344,1.2197428900224812e-31
xlsr_layer18,xlsr_pc5,extended_height,C(vowel_height)[T.low],-23.7597439549618,0.3356393212057234,-70.7895125922947,0.0
xlsr_layer18,xlsr_pc5,extended_height,C(vowel_height)[T.mid],-23.01020162065294,0.5052223389308946,-45.544703485093365,0.0
xlsr_layer18,xlsr_pc5,extended_height,l2,-0.8645907316772867,2.2043896467572677,-0.39221320647605523,0.6949006869523655
xlsr_layer18,xlsr_pc5,extended_height,male,-4.3708580360006914,2.2358363444967444,-1.9549096456719917,0.05059373586809358
xlsr_layer18,xlsr_pc5,extended_height,l2:male,2.8618251886740547,3.1406679801707904,0.911215450580175,0.3621818647350852
