representation,response,model,n_obs,converged,log_likelihood,aic,bic,df_modelwc,var_fixed,var_random_speaker,var_residual,icc,marginal_r2,conditional_r2,comparison,lr_statistic,raw_lr_statistic,lrt_note,df,p_value
whisper_layer20,whisper_pc3,,,,,,,,,,,,,,full_interaction_vs_extended_height,5829.151179828099,5829.151179828099,,2.0,0.0
whisper_layer20,whisper_pc4,null_model,8277.0,True,-17530.10735036288,35066.21470072576,35087.278408314414,2.0,7.889562243250743e-31,0.05268005574801365,4.029405420840037,0.012905181934613841,1.932728329306106e-31,0.012905181934613841,,,,,,
whisper_layer20,whisper_pc4,main_effects,8277.0,True,-17528.905526813258,35067.811053626516,35102.91723294094,4.0,0.0073491102102537145,0.04531432035397646,4.029406433526323,0.011120840688487491,0.001800339155119048,0.012901158558677213,,,,,,
whisper_layer20,whisper_pc4,full_interaction,8277.0,True,-17528.50506799572,35069.01013599144,35111.13755116875,5.0,0.009591865142686194,0.043034994058764146,4.029411198664421,0.010567357313562755,0.0023497735706317527,0.012892299987267673,,,,,,
whisper_layer20,whisper_pc4,extended_height,8277.0,True,-15824.353048830271,31664.706097660543,31720.875984563627,7.0,1.3709747572891804,0.04769091888450607,2.666659389005516,0.017569920413691268,0.3355852313869772,0.34725894599318907,,,,,,
whisper_layer20,whisper_pc4,,,,,,,,,,,,,,null_model_vs_main_effects,2.403647099243244,2.403647099243244,,2.0,0.3006454698023308
whisper_layer20,whisper_pc4,,,,,,,,,,,,,,main_effects_vs_full_interaction,0.8009176350751659,0.8009176350751659,,1.0,0.37081915327599424
whisper_layer20,whisper_pc4,,,,,,,,,,,,,,full_interaction_vs_extended_height,3408.304038330898,3408.304038330898,,2.0,0.0
whisper_layer20,whisper_pc5,null_model,8277.0,True,-21995.962905551627,43997.925811103254,44018.98951869191,2.0,7.704650628174554e-34,0.17714682960736053,11.851505268067298,0.014727072341015333,6.405248539579919e-35,0.014727072341015333,,,,,,
whisper_layer20,whisper_pc5,main_effects,8277.0,True,-21992.443613648175,43994.88722729635,44029.993406610774,4.0,0.06325276621805798,0.11382049720160635,11.851516780041838,0.009512518917296089,0.0052585353719358735,0.014721032372029154,,,,,,
whisper_layer20,whisper_pc5,full_interaction,8277.0,True,-21992.431391416627,43996.862782833254,44038.990198010564,5.0,0.06346887431534276,0.11368412191918267,11.851508081540404,0.00950123658576185,0.005276470415532173,0.01472757400753828,,,,,,
whisper_layer20,whisper_pc5,extended_height,8277.0,True,-21264.650055342674,42545.30011068535,42601.46999758843,7.0,1.9752121953672095,0.12226571137031084,9.935626316709815,0.012156196450405643,0.1641481831029413,0.17430896199257043,,,,,,
