phoneme_label,l1_status,gender,n_tokens,f1_missing_prop,f2_missing_prop,f3_missing_prop,f0_missing_prop,scg_missing_prop
ɛ̃,L2,f,5,0.0,0.0,0.0,0.0,1.0
ɛ̰,L1,m,1,0.0,0.0,1.0,0.0,1.0
ɡ,L1,f,24,0.0,0.0,1.0,0.0833333333333333,1.0
ɡ,L1,m,82,0.0,0.0,1.0,0.1219512195121951,1.0
ɡ,L2,f,91,0.0,0.0,1.0,0.1868131868131868,1.0
ɡ,L2,m,22,0.0,0.0,1.0,0.0454545454545454,1.0
ɡ̥,L1,m,2,0.0,0.0,1.0,0.5,1.0
ɡ̥,L2,f,5,0.0,0.0,1.0,1.0,1.0
ɡ̥,L2,m,2,0.0,0.0,1.0,0.5,1.0
ɨ,L2,f,2,0.0,0.0,1.0,0.0,1.0
ɪ,L2,f,1,0.0,0.0,1.0,0.0,1.0
ɪ,L2,m,11,0.0,0.0,1.0,0.0,1.0
ɫ,L2,f,1,0.0,0.0,1.0,0.0,1.0
ɫ,L2,m,2,0.0,0.0,1.0,0.0,1.0
ɬ,L2,f,1,0.0,0.0,1.0,0.0,1.0
ɬ,L2,m,1,0.0,0.0,1.0,0.0,1.0
ʀ,L1,f,8,0.0,0.0,1.0,0.0,1.0
ʀ,L1,m,1,0.0,0.0,1.0,0.0,1.0
ʀ,L2,f,35,0.0,0.0,1.0,0.0,1.0
ʀ̥,L2,f,4,0.0,0.0,1.0,1.0,1.0
ʁ,L1,f,289,0.0,0.0,1.0,0.3598615916955017,0.0
ʁ,L1,m,1029,0.0,0.0,1.0,0.4081632653061224,0.0
ʁ,L2,f,1110,0.0,0.0,1.0,0.3918918918918919,0.0
ʁ,L2,m,284,0.0,0.0,1.0,0.4894366197183099,0.0
ʁ̞,L1,f,1,0.0,0.0,1.0,0.0,1.0
ʁ̞,L1,m,3,0.0,0.0,1.0,0.0,1.0
ʁ̞,L2,f,4,0.0,0.0,1.0,0.0,1.0
ʁ̥,L1,m,19,0.0,0.0,1.0,0.5263157894736842,1.0
ʁ̥,L2,f,42,0.0,0.0,1.0,0.4761904761904761,1.0
ʁ̥,L2,m,17,0.0,0.0,1.0,0.7647058823529411,1.0
ʂ,L2,f,1,0.0,0.0,1.0,0.0,1.0
ʃ,L1,f,47,0.0,0.0,1.0,0.8936170212765957,0.0
ʃ,L1,m,167,0.0,0.0,1.0,0.9101796407185628,0.0
ʃ,L2,f,180,0.0,0.0,1.0,0.8555555555555555,0.0
ʃ,L2,m,49,0.0,0.0,1.0,1.0,0.0
ʃː,L1,f,1,0.0,0.0,1.0,1.0,1.0
ʉ,L2,f,9,0.0,0.0,1.0,0.0,1.0
ʐ,L2,f,4,0.0,0.0,1.0,0.0,1.0
ʐ,L2,m,1,0.0,0.0,1.0,0.0,1.0
ʒ,L1,f,36,0.0,0.0,1.0,0.0833333333333333,0.0
ʒ,L1,m,106,0.0,0.0,1.0,0.1320754716981132,0.0
ʒ,L2,f,103,0.0,0.0,1.0,0.2135922330097087,0.0
ʒ,L2,m,22,0.0,0.0,1.0,0.1818181818181818,0.0
ʒʲ,L2,f,2,0.0,0.0,1.0,0.5,1.0
ʒ̞,L2,f,1,0.0,0.0,1.0,0.0,1.0
ʒ̥,L1,m,21,0.0,0.0,1.0,0.6190476190476191,1.0
ʒ̥,L2,f,20,0.0,0.0,1.0,0.5,1.0
ʒ̥,L2,m,12,0.0,0.0,1.0,0.5,1.0
ʝ,L2,f,3,0.0,0.0,1.0,0.0,1.0
