speaker_id,sentence_id,sentence_number,repetition_index,list_id,token_index,phoneme_label,phoneme_label_raw,word_label,onset,offset,duration,duration_ms,l1_status,native_language,gender,age,fr_level,ru_level,recording_duration,speaker_l1_from_filename,textgrid_path,wav_path,is_vowel,is_fricative,midpoint_s,f1_hz,f2_hz,f3_hz,f1_25_hz,f2_25_hz,f3_25_hz,f1_75_hz,f2_75_hz,f3_75_hz,f0_mean_hz,scg_hz,rms_energy,max_formant_hz,extraction_error
AB,FRcorp2,2,1,list1,11,t,t,trois,2.4,2.44,0.04,40.000000000000036,L2,ru,f,22,A1,C2,153.11,rus,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp2.TextGrid,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp2.wav,False,False,2.42,875.8976990471601,1639.0485775492764,,,,,,,,,,0.002325807112986807,5000,
AB,FRcorp2,2,1,list1,12,ʁ,ʁ,trois,2.44,2.53,0.0899999999999998,89.99999999999986,L2,ru,f,22,A1,C2,153.11,rus,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp2.TextGrid,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp2.wav,False,True,2.485,955.9548026900312,1232.5982158506301,,,,,,,,,4172.142220744236,0.0020523024984169416,5000,
AB,FRcorp2,2,1,list1,13,w,w,trois,2.53,2.6,0.0700000000000002,70.00000000000028,L2,ru,f,22,A1,C2,153.11,rus,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp2.TextGrid,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp2.wav,False,False,2.565,478.81844388448195,972.198493785586,,,,,,,,228.66157196667413,,0.014908985415194729,5000,
AB,FRcorp2,2,1,list1,14,a,a,trois,2.6,2.75,0.1499999999999999,149.99999999999991,L2,ru,f,22,A1,C2,153.11,rus,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp2.TextGrid,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp2.wav,True,False,2.675,812.3492035023701,1443.9252626866087,2829.6201887683173,705.0373459382406,1358.4761620576187,2803.940391771122,752.3875640394616,1393.2291838733427,2991.3650863675803,221.19945776179313,,0.013479962609511682,5000,
AB,FRcorp2,2,1,list1,15,f,f,fois,2.75,2.93,0.1800000000000001,180.00000000000017,L2,ru,f,22,A1,C2,153.11,rus,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp2.TextGrid,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp2.wav,False,True,2.84,1219.1117331632427,1847.655984930148,,,,,,,,,6452.210625967404,0.0007524893513683114,5000,
AB,FRcorp2,2,1,list1,16,w,w,fois,2.93,2.98,0.0499999999999998,49.99999999999982,L2,ru,f,22,A1,C2,153.11,rus,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp2.TextGrid,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp2.wav,False,False,2.955,512.4078431212982,917.0958419710396,,,,,,,,210.6335321771171,,0.011437290932417748,5000,
AB,FRcorp2,2,1,list1,17,a,a,fois,2.98,3.17,0.1899999999999999,189.99999999999991,L2,ru,f,22,A1,C2,153.11,rus,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp2.TextGrid,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp2.wav,True,False,3.075,770.9167828946051,1443.4584785757802,2860.8153848742713,754.7331918165806,1333.4988776799316,2780.7553193216822,1209.658470329246,1297.5484850674368,3223.2382208958666,204.51143651711828,,0.009087741546522877,5000,
AB,FRcorp3,3,1,list1,2,d,d,dis,0.77224,0.95,0.1777599999999999,177.7599999999999,L2,ru,f,22,A1,C2,153.11,rus,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp3.TextGrid,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp3.wav,False,False,0.86112,325.98030550842736,1373.8135596229006,,,,,,,,209.974595572639,,0.005588522365982988,5000,
AB,FRcorp3,3,1,list1,3,i,i,dis,0.95,1.22,0.27,270.0,L2,ru,f,22,A1,C2,153.11,rus,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp3.TextGrid,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp3.wav,True,False,1.085,445.60145572213963,2741.2640818590485,3811.988470072481,422.10232218857294,2705.530156174182,3577.9725108603407,478.44646731044065,2689.9992720440023,3821.574444135972,226.1590063467388,,0.008995793432191,5000,
AB,FRcorp3,3,1,list1,5,k,k,cache cache,1.42,1.47586,0.05586,55.86000000000002,L2,ru,f,22,A1,C2,153.11,rus,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp3.TextGrid,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp3.wav,False,False,1.44793,1369.244817592756,2134.573604765633,,,,,,,,,,0.0035100236326159754,5000,
